genre,label,weight
Action,0,0.10510531454875156
Adventure,1,0.03538382852094667
Animation,2,0.026293764820756033
Comedy,3,0.20618868275445204
Crime,4,0.03968475380108802
Documentary,5,0.07969498302878132
Drama,6,0.28128051332124426
Family,7,0.012600548658576278
Fantasy,8,0.016599246756869857
Foreign,9,0.0027432928813874552
History,10,0.006579253266378388
Horror,11,0.0612358766913098
Music,12,0.011414888175942717
Mystery,13,0.013042265308969172
Romance,14,0.028362858604175385
Science Fiction,15,0.01522760031617613
Thriller,16,0.03905705119263496
War,17,0.008857581252615428
Western,18,0.01064769609894453
